movie_ID,title,rating,genres,poster_path
83,RoboCop,7.321,Action|Thriller|Sci-Fi,RoboCop.jpg
84,Con Air,6.751,Action|Thriller|Crime,Con Air.jpg
85,Ape vs Mecha Ape,5.679,Action|Sci-Fi,Ape vs Mecha Ape.jpg
86,Dark Phoenix,5.976,Sci-Fi|Action|Adventure,Dark Phoenix.jpg
87,Interstellar,8.435,Adventure|Drama|Sci-Fi,Interstellar.jpg
88,Superman,7.138,Sci-Fi|Action|Adventure,Superman.jpg
89,Kate,6.642,Action,Kate.jpg
90,Baywatch,6.093,Comedy|Action|Crime,Baywatch.jpg
91,The Roundup: No Way Out,7.039,Action|Crime|Comedy|Thriller,The Roundup_ No Way Out.jpg
92,The Marvels,6.125,Sci-Fi|Adventure|Action,The Marvels.jpg
93,The Void,5.954,Mystery|Horror|Sci-Fi,The Void.jpg
94,Mad Max: Fury Road,7.599,Action|Adventure|Sci-Fi,Mad Max_ Fury Road.jpg
95,Citizen Kane,8.008,Mystery|Drama,Citizen Kane.jpg
96,Silence,7.126,Drama|History,Silence.jpg
97,Doctor Strange,7.422,Action|Adventure|Fantasy,Doctor Strange.jpg
98,Dark City,7.325,Mystery|Sci-Fi,Dark City.jpg
99,The 100 Candles Game: The Last Possession,5.778,Horror,The 100 Candles Game_ The Last Possession.jpg
100,Sting,6.35,Horror|Thriller,Sting.jpg
101,Judge Dredd,5.796,Sci-Fi,Judge Dredd.jpg
102,Death Wish,6.16,Action|Crime|Drama|Thriller,Death Wish.jpg
103,Taxi Driver,8.151,Crime|Drama,Taxi Driver.jpg
104,Rebel Moon - Part Two: The Scargiver,6.107,Sci-Fi|Action|Drama,Rebel Moon - Part Two_ The Scargiver.jpg
105,Wonka,7.165,Comedy|Children|Fantasy,Wonka.jpg
106,Creepshow,6.933,Horror|Comedy,Creepshow.jpg
107,Logan Lucky,6.726,Comedy|Crime|Action|Drama,Logan Lucky.jpg
108,Mercy,6.242,Action|Mystery|Thriller,Mercy.jpg
109,The Omen,7.403,Horror|Thriller,The Omen.jpg
110,Bad Boys for Life,7.125,Thriller|Action|Crime,Bad Boys for Life.jpg
111,Halloween,6.555,Horror|Thriller,Halloween.jpg
112,Abigail,6.813,Horror|Thriller,Abigail.jpg
113,Hachiko,7.927,Drama|Children,Hachiko.jpg
114,Monster's Battlefield,6.932,Sci-Fi,Monster's Battlefield.jpg
115,Oligosaccharide The Movie,4.333,Drama,Oligosaccharide The Movie.jpg
116,Jaws,7.662,Horror|Thriller|Adventure,Jaws.jpg
117,Baby Driver,7.451,Action|Crime,Baby Driver.jpg
118,Angel Heart,7.14,Horror|Mystery,Angel Heart.jpg
119,The Beekeeper,7.395,Action|Thriller|Drama,The Beekeeper.jpg
120,Hunt Club,4.214,Action|Thriller|Horror,Hunt Club.jpg
121,Mercy,6.242,Action|Mystery|Thriller,Mercy.jpg
122,Challengers,7.3,Romance|Drama,Challengers.jpg
123,Dawn of the Planet of the Apes,7.324,Sci-Fi|Action|Drama|Thriller,Dawn of the Planet of the Apes.jpg
124,Hunt Club,4.214,Action|Thriller|Horror,Hunt Club.jpg
125,Shazam!,7.017,Action|Comedy|Fantasy,Shazam!.jpg
126,Melancholia,7.196,Drama|Sci-Fi,Melancholia.jpg
127,The Promised Neverland,7.4,Action|Thriller|Fantasy|Mystery|Adventure|Drama,The Promised Neverland.jpg
128,Crooklyn,6.8,Comedy|Drama,Crooklyn.jpg
129,Spider-Man: Homecoming,7.337,Action|Adventure|Sci-Fi|Drama,Spider-Man_ Homecoming.jpg
130,The Nun,5.89,Horror,The Nun.jpg
131,Scarface,8.2,Action|Crime|Drama,Scarface.jpg
132,Terminator Genisys,5.94,Sci-Fi|Action|Thriller|Adventure,Terminator Genisys.jpg
133,Stand by Me,7.856,Crime|Drama,Stand by Me.jpg
134,Ghostbusters,7.485,Comedy|Fantasy,Ghostbusters.jpg
135,Creed II,7.03,Drama|Action,Creed II.jpg
136,Nobody,7.968,Action|Thriller,Nobody.jpg
137,Allied,6.791,Action|Drama|War|Romance|Thriller,Allied.jpg
138,War for the Planet of the Apes,7.195,Drama|Sci-Fi|War,War for the Planet of the Apes.jpg
139,Chappie,6.781,Crime|Action|Sci-Fi,Chappie.jpg
140,Justice League,6.086,Action|Adventure|Sci-Fi,Justice League.jpg
141,Challengers,7.278,Romance|Drama,Challengers.jpg
142,The Promised Neverland,7.4,Action|Thriller|Fantasy|Mystery|Adventure|Drama,The Promised Neverland.jpg
143,Rings,4.974,Horror,Rings.jpg
144,Slyth: The Hunt Saga,4.417,Action|Sci-Fi|Thriller|Romance,Slyth_ The Hunt Saga.jpg
145,South Park: The End of Obesity,7.946,Animation|Comedy,South Park_ The End of Obesity.jpg
146,Allied,6.791,Action|Drama|War|Romance|Thriller,Allied.jpg
147,U Turn,6.642,Crime|Drama|Thriller,U Turn.jpg
148,Species,5.964,Sci-Fi|Horror|Action,Species.jpg
149,Chappie,6.781,Crime|Action|Sci-Fi,Chappie.jpg
150,It Chapter Two,6.846,Horror,It Chapter Two.jpg
151,Avengers: Infinity War,8.246,Adventure|Action|Sci-Fi,Avengers_ Infinity War.jpg
152,Blade,6.8,Horror|Action,Blade.jpg
